TimeStamp,v_Vehicle,pos_x,pos_z,v_EgoPerson,pos_x_left_foot,pos_z_left_foot,crossingDecisionToken,SubjectID,ScenarioID,speed,acc,const,dec,Velocity_gradient,sin_Angle,direction,left,central,right,dest,curr_dist_left_dec_x,curr_dist_left_acc_x,curr_dist_left_const_x,curr_dist_right_dec_x,curr_dist_right_acc_x,curr_dist_right_const_x,curr_dist_central_dec_x,curr_dist_central_acc_x,curr_dist_central_const_x,curr_dist_left_dec_z,curr_dist_left_acc_z,curr_dist_left_const_z,curr_dist_right_dec_z,curr_dist_right_acc_z,curr_dist_right_const_z,curr_dist_central_dec_z,curr_dist_central_acc_z,curr_dist_central_const_z,dest_dist_left_dec,dest_dist_left_acc,dest_dist_left_const,dest_dist_right_dec,dest_dist_right_acc,dest_dist_right_const,dest_dist_central_dec,dest_dist_central_acc,dest_dist_central_const,car_dist_left_dec,car_dist_left_acc,car_dist_left_const,car_dist_right_dec,car_dist_right_acc,car_dist_right_const,car_dist_central_dec,car_dist_central_acc,car_dist_central_const,v_Vehicle_Effect,Angle_Left_Acc,Angle_Left_Dec,Angle_Left_Const,Angle_Right_Acc,Angle_Right_Dec,Angle_Right_Const,Angle_Central_Acc,Angle_Central_Dec,Angle_Central_Const,Choice_Literal,Choice,PrevChoice_1,PrevChoice_2,PrevChoice_3,PrevChoice_4,PrevChoice_5,PrevChoice_6,PrevChoice_7,PrevChoice_8,PrevChoice_9,InvID,ID,Observation,left_acc,right_acc,centre_acc,left_dec,right_dec,centre_dec,left_const,right_const,centre_const,,,Avg Acc,Avg Decc,Avg Const
42.36555,7.125973,-123.4153,391.4281,0.04290298,-148.8929,395.7296,FALSE,1,1,Const,0,1,0,-0.023320894,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,7.125973,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,1,0,0,0,18,18,1,0.00184774,0.00766179,0.19449026,0.008096975,0.007940347,0.260112237,0.008246379,0.021176221,0.490428052,0.490428052,,0.06799993,0.092049853,0.173283551
43.47667,5.548362,-130.119,391.4308,0.0147908,-148.8929,395.7296,FALSE,1,1,Dec,0,0,1,-0.014062449,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,5.548362,0,0,0,0,0,0,0,0,0,C-Dec,9,0,0,0,0,0,1,0,0,0,19,19,1,0.001786697,0.007408672,0.188064998,0.007524465,0.007378912,0.241720585,0.007690938,0.019749882,0.518674851,0.241720585,,0.065753456,0.085541321,0.182038557
44.58778,3.968893,-135.0074,391.3419,0.01165276,-148.8929,395.7296,FALSE,1,1,Const,0,1,0,0.646065286,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,3.968893,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,0,0,0,1,20,20,1,0.006251927,0.025924073,0.658068137,0.001548797,0.001518837,0.028775472,0.002046223,0.005254582,0.270611953,0.270611953,,0.230081379,0.010614368,0.092637586
45.69889,2.362474,-138.0926,391.2658,1.45049,-148.8929,395.7296,FALSE,1,1,Acc,1,0,0,0.549182007,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,2.362474,0,0,0,0,0,0,0,0,0,C-Acc,3,0,0,0,0,0,1,0,0,0,21,21,1,0.006008036,0.02491276,0.632396522,0.002255789,0.002212153,0.072466358,0.002870116,0.007370291,0.249507975,0.632396522,,0.221105773,0.025644767,0.086582794
46.81,0.636104,-139.2738,391.2331,1.232056,-149.0647,394.799,FALSE,1,1,Const,0,1,0,0.046943597,0,C,0,1,0,7,-148.8946044,-148.0441263,-148.4977146,-149.3118184,-150.5474101,-149.8884278,-149.1191633,-149.3914798,-149.2462443,394.5518816,393.3162899,393.9752722,394.6289044,393.7784263,394.2320146,394.5039852,393.028911,393.8156172,12.45526039,11.39300129,11.94786296,12.48153746,11.56425848,12.03892226,12.37890313,10.88222707,11.68034818,10.17714049,9.014338771,9.622895036,10.5968533,11.55737735,11.03013206,10.37448159,10.27581539,10.30140968,0.636104,0.724450353,0.724450353,0.724450353,0.846345974,0.846345974,0.846345974,0.06094781,0.06094781,0.06094781,C-Const,6,0,0,1,0,0,0,0,0,0,22,22,1,0.017566279,0.014276517,0.054264299,0.030059397,0.029883943,0.127761286,0.042646901,0.051663492,0.631877885,0.631877885,,0.028702365,0.062568209,0.24206276
47.92111,0.1900432,-139.39,391.2259,1.554809,-149.206,393.5943,TRUE,1,1,Const,0,1,0,0.106381456,3.77003402,C,0,1,0,7,-149.0200239,-148.0901436,-148.5860798,-149.4413995,-150.6183967,-149.9906649,-149.2409476,-149.4156857,-149.3224921,393.3589005,392.1819033,392.8096351,393.4083239,392.4784436,392.9743798,393.2963425,391.8065551,392.6011084,11.25641972,10.27939952,10.7855405,11.25410107,10.26415562,10.77747206,11.16539457,9.665420861,10.4654059,9.863419911,8.752510568,9.331457576,10.28560184,11.29804225,10.74389487,10.06617609,10.04248644,10.02724271,0.1900432,0.790763133,0.790763133,0.790763133,0.780033194,0.780033194,0.780033194,0.00536497,0.00536497,0.00536497,C-Const,6,0,0,0,0,0,1,0,0,0,23,23,1,0.037070994,0.019785282,0.134176359,0.050067921,0.03408897,0.150360707,0.072119246,0.058595593,0.443734928,0.443734928,,0.063677545,0.078172532,0.191483256
49.03222,0.04356436,-139.5113,391.2179,1.468459,-149.2025,391.6893,FALSE,1,1,Const,0,1,0,-0.64519467,6.794959593,C,0,1,0,7,-148.9899786,-147.9273715,-148.4940953,-149.4142419,-150.4729516,-149.9083064,-149.2019488,-149.1991929,-149.2006627,391.4775581,390.4188484,390.9834936,391.4767786,390.4141715,390.9808953,391.3893005,389.889303,390.6893017,9.402596471,8.629715937,9.019144613,9.338412179,8.200897937,8.794053389,9.281311231,7.80227555,8.590189876,9.482234438,8.453918775,8.985853171,9.906325103,10.99107753,10.39970741,9.692164499,9.778570401,9.703770728,0.04356436,0.933951925,0.933951925,0.933951925,0.636844401,0.636844401,0.636844401,0.148553762,0.148553762,0.148553762,C-Const,6,0,0,0,0,0,1,0,0,0,24,24,1,0.00238529,0.000517566,0.007936338,0.082001,0.024719637,0.242903636,0.08775371,0.03030479,0.521478034,0.521478034,,0.003613065,0.116541424,0.213178845
50.14333,0.09827313,-139.4283,391.215,0.1210445,-149.1561,390.2855,FALSE,1,1,Dec,0,0,1,-0.008649009,1.787848573,C,0,1,0,7,-148.9370759,-147.8419557,-148.4260198,-149.3611084,-150.3861507,-149.8394615,-149.1461895,-149.0966368,-149.1230649,390.0804916,389.0554493,389.6021385,390.0664759,388.9713557,389.5554198,389.9856637,388.4864825,389.2860458,8.040601534,7.377196835,7.701824097,7.949730603,6.760524758,7.380689211,7.906675492,6.450465026,7.224881231,9.576216863,8.686383654,9.141131448,9.998989507,11.18518804,10.54260357,9.795337839,10.04597157,9.884803019,0.09827313,0.995786138,0.995786138,0.995786138,0.575010189,0.575010189,0.575010189,0.210387975,0.210387975,0.210387975,C-Dec,9,0,0,0,0,0,1,0,0,0,25,25,1,0.027268856,0.004113161,0.085954637,0.066139402,0.014048373,0.193845033,0.087387632,0.021059136,0.500183769,0.193845033,,0.039112218,0.09134427,0.202876846
51.25444,0.04842812,-139.3426,391.2119,1.449239,-149.1836,388.7381,FALSE,1,1,Acc,1,0,0,0.625368616,-2.911255161,C,0,1,0,7,-148.9752708,-147.9336249,-148.4891694,-149.3994679,-150.4788074,-149.9031597,-149.1889307,-149.2155841,-149.2013689,388.5222321,387.4428926,388.0185403,388.5297708,387.4881249,388.0436694,388.4381474,386.9383842,387.7382579,6.514486401,5.870446502,6.177071903,6.42906985,5.275279951,5.871192741,6.382399211,4.923521293,5.698933181,10.00113296,9.381424519,9.687996581,10.40838167,11.74230032,11.02556601,10.22956165,10.75819466,10.45282328,0.04842812,0.981818153,0.981818153,0.981818153,0.588978174,0.588978174,0.588978174,0.19641999,0.19641999,0.19641999,C-Acc,3,0,0,0,0,0,0,0,0,1,26,26,1,0.122193206,0.022348085,0.377927423,0.024029884,0.005592972,0.040452609,0.036897339,0.010150422,0.36040806,0.377927423,,0.174156238,0.023358488,0.135818607
52.36556,0.1346351,-139.4639,391.2039,1.510746,-149.4281,387.3549,FALSE,1,1,Const,0,1,0,-0.525578864,-9.006145059,C,0,1,0,7,-149.2561312,-148.3962874,-148.8548708,-149.6739185,-150.9030111,-150.2474951,-149.4803197,-149.741418,-149.6021656,387.1090815,385.8799889,386.5355049,387.1829312,386.3230874,386.7816708,387.0594798,385.5823787,386.3701659,5.076626158,4.27849638,4.661300134,5.054694,4.119747687,4.581162141,4.973480141,3.476458065,4.274610021,10.61392158,10.39863333,10.48733737,10.97327061,12.43686434,11.65512908,10.83996688,11.71447303,11.2316256,0.1346351,0.835079679,0.835079679,0.835079679,0.735716648,0.735716648,0.735716648,0.049681515,0.049681515,0.049681515,C-Const,6,0,0,1,0,0,0,0,0,0,27,27,1,0.001758355,0.001055035,0.00343035,0.069345824,0.038577009,0.203790962,0.057514146,0.043484238,0.581044082,0.581044082,,0.002081247,0.103904598,0.227347488
