TimeStamp,v_Vehicle,pos_x,pos_z,v_EgoPerson,pos_x_left_foot,pos_z_left_foot,crossingDecisionToken,SubjectID,ScenarioID,dest_rel_dist,speed,rel_dist_vel,acc,const,dec,Velocity_gradient,v_to_vmax,sin_Angle,direction,left,central,right,dest,curr_dist_left_dec_x,curr_dist_left_acc_x,curr_dist_left_const_x,curr_dist_right_dec_x,curr_dist_right_acc_x,curr_dist_right_const_x,curr_dist_central_dec_x,curr_dist_central_acc_x,curr_dist_central_const_x,curr_dist_left_dec_z,curr_dist_left_acc_z,curr_dist_left_const_z,curr_dist_right_dec_z,curr_dist_right_acc_z,curr_dist_right_const_z,curr_dist_central_dec_z,curr_dist_central_acc_z,curr_dist_central_const_z,dest_dist_left_dec,dest_dist_left_acc,dest_dist_left_const,dest_dist_right_dec,dest_dist_right_acc,dest_dist_right_const,dest_dist_central_dec,dest_dist_central_acc,dest_dist_central_const,car_dist_left_dec,car_dist_left_acc,car_dist_left_const,car_dist_right_dec,car_dist_right_acc,car_dist_right_const,car_dist_central_dec,car_dist_central_acc,car_dist_central_const,v_Vehicle_Effect,Angle_Left_Acc,Angle_Left_Dec,Angle_Left_Const,Angle_Right_Acc,Angle_Right_Dec,Angle_Right_Const,Angle_Central_Acc,Angle_Central_Dec,Angle_Central_Const,Choice_Literal,Choice,PrevChoice_1,PrevChoice_2,PrevChoice_3,PrevChoice_4,PrevChoice_5,PrevChoice_6,PrevChoice_7,PrevChoice_8,PrevChoice_9,InvID
23.47667,8.48565,30.08589,368.8263,1.560337,-140.3979,400.9343,FALSE,1,1,11.44637703,Const,20.44404002,0,1,0,-0.002727903,1.170730701,0,C,0,1,0,2,-140.668221,-142.019826,-141.29897,-140.2677979,-139.6172874,-139.9642263,-140.4970497,-140.9927984,-140.7283991,401.0644021,401.7149126,401.3679737,401.204621,402.556226,401.83537,401.2174419,402.6331514,401.8781063,11.17463953,9.840613658,10.54654537,11.57518079,12.30898559,11.89973772,11.34603259,10.95431412,11.13983431,0,0,0,0,0,0,0,0,0,0,0.431965924,0.431965924,0.431965924,2.002762251,2.002762251,2.002762251,1.217364088,1.217364088,1.217364088,C-Const,6,0,0,0,0,0,0,0,0,0,1
24.58778,7.725297,21.54691,371.0516,1.557306,-142.0172,400.7875,FALSE,1,1,9.831270746,Const,21.51957727,0,1,0,-0.681032207,1.168456522,75.88100097,L,1,0,0,2,-142.2093131,-143.1698784,-142.6575769,-142.2476183,-143.3997095,-142.7852608,-142.3159748,-143.8098485,-143.0131159,400.5570817,399.4049905,400.0194392,400.9796131,401.9401784,401.4278769,400.7604141,400.6249848,400.6972138,9.650071526,8.841598286,9.251335274,9.596172572,8.482319597,9.062525198,9.53367226,8.048354991,8.839907166,0,0,0,0,0,0,0,0,0,0,0.910072219,0.910072219,0.910072219,0.660724108,0.660724108,0.660724108,0.124674056,0.124674056,0.124674056,L-Const,4,0,0,0,0,0,1,0,0,0,2
25.69889,8.571273,12.47281,373.3869,0.04693361,-143.6357,400.8009,FALSE,1,1,8.213369379,Dec,18.49168736,0,0,1,-0.065474165,0.035214584,-5.654428785,C,0,1,0,2,-143.849581,-144.918986,-144.3486367,-143.8460685,-144.8979112,-144.3369284,-143.9356897,-145.4356383,-144.6356657,400.5905315,399.5386888,400.0996716,401.014781,402.084186,401.5138367,400.8033837,400.8158022,400.809179,8.010921304,7.102955587,7.563785329,7.997381405,7.01081117,7.515872926,7.913520005,6.414484421,7.213920172,0,0,0,0,0,0,0,0,0,0,0.81650409,0.81650409,0.81650409,0.754292237,0.754292237,0.754292237,0.031105927,0.031105927,0.031105927,C-Dec,9,0,0,0,1,0,0,0,0,0,3
26.81,8.278091,3.463806,375.664,1.411808,-145.2605,400.5697,FALSE,1,1,6.605523295,Acc,18.21618883,1,0,0,0.667083093,1.059288455,8.572860411,C,0,1,0,2,-145.4406323,-146.341294,-145.8609411,-145.5004007,-146.6999042,-146.060169,-145.5575082,-147.0425492,-146.2505273,400.3297993,399.1302958,399.770031,400.7498323,401.650494,401.1701411,400.5274374,400.3161243,400.4288246,6.451178325,5.851625475,6.133146333,6.353344514,5.169644969,5.782712719,6.313468217,4.867709481,5.63525342,0,0,0,0,0,0,0,0,0,0,1.010802719,1.010802719,1.010802719,0.559993607,0.559993607,0.559993607,0.225404556,0.225404556,0.225404556,C-Acc,3,0,0,0,0,0,0,0,0,1,4
27.92111,8.262233,-5.422836,377.8433,1.529339,-146.9452,400.5492,FALSE,1,1,4.931150602,Const,17.34788432,0,1,0,-0.058887059,1.147472706,-7.401343932,C,0,1,0,2,-147.1547352,-148.2024114,-147.6436508,-147.1598974,-148.2333846,-147.6608581,-147.2451778,-148.7450668,-147.945126,400.3345026,399.2610154,399.8335419,400.7587352,401.8064114,401.2476508,400.5455498,400.5272986,400.5370326,4.754029206,4.089441387,4.392956981,4.697049869,3.673204803,4.183660713,4.633806457,3.154638234,3.941569019,0,0,0,0,0,0,0,0,0,0,0.914457841,0.914457841,0.914457841,0.656338486,0.656338486,0.656338486,0.129059678,0.129059678,0.129059678,C-Const,6,0,0,1,0,0,0,0,0,0,5
29.03222,8.295075,-14.39449,379.9411,1.280948,-148.0947,400.4758,FALSE,1,1,3.80368982,Const,16.30702031,0,1,0,0.747992548,0.96110337,2.956435814,C,0,1,0,2,-148.292883,-149.2837978,-148.7553099,-148.3199188,-149.4460128,-148.8454293,-148.3940903,-149.8910416,-149.0926676,400.2505812,399.1244872,399.7250707,400.673983,401.6648978,401.1364099,400.4566828,400.3610967,400.4120759,3.655760589,3.247650177,3.389663755,3.551446575,2.456899553,2.997295115,3.512637449,2.095578637,2.840764258,0,0,0,0,0,0,0,0,0,0,1.020494749,1.020494749,1.020494749,0.550301577,0.550301577,0.550301577,0.235096586,0.235096586,0.235096586,C-Const,6,0,0,0,0,0,1,0,0,0,6
30.14333,8.259208,-23.36247,381.8763,3.191543,-148.6817,399.6718,FALSE,1,1,3.478746506,Acc,15.32549084,1,0,0,-0.375183624,2.39463486,50.21324104,L,1,0,0,2,-148.6354584,-148.4042507,-148.5275615,-148.9781148,-150.4601886,-149.6697492,-148.8585992,-149.7430951,-149.2713639,399.3753852,397.8933114,398.6837508,399.6255584,399.3943507,399.5176615,399.4295054,398.2180323,398.8641513,3.653094756,4.718285866,4.116603462,3.232966868,2.214511769,2.702406764,3.431790568,3.585349742,3.423454604,0,0,0,0,0,0,0,0,0,0,2.156283164,2.156283164,2.156283164,0.585486838,0.585486838,0.585486838,1.370885001,1.370885001,1.370885001,L-Acc,1,0,0,0,0,0,1,0,0,0,7
31.25445,8.295467,-32.40031,383.6076,0.4471618,-148.5531,398.3707,FALSE,1,1,16.28588718,Dec,14.11460396,0,0,1,-0.823999948,0.335508321,41.77791209,L,1,0,0,7,-148.3211313,-147.1612877,-147.7798709,-148.743338,-149.6945282,-149.1872268,-148.523592,-148.3760517,-148.4547398,398.180462,397.2292718,397.7365732,398.1387313,396.9788877,397.5974709,398.0721547,396.5794284,397.3755491,16.1283565,15.4043077,15.77686056,16.03261483,14.79249218,15.44815562,15.99356893,14.53667351,15.31264862,116.8332363,115.5665693,116.2414339,117.2469784,118.053907,117.6218535,117.0206817,116.6989331,116.8682468,8.295467,1.010103521,1.010103521,1.010103521,0.560692805,0.560692805,0.560692805,0.224705358,0.224705358,0.224705358,L-Dec,7,1,0,0,0,0,0,0,0,0,8
32.36555,8.302413,-41.4886,385.1048,1.360368,-148.4649,397.2695,FALSE,1,1,15.20622359,Acc,12.9680042,1,0,0,-0.201204595,1.020692698,-1.065451019,C,0,1,0,7,-148.2365088,-147.0945527,-147.7035959,-148.6594185,-149.632011,-149.113295,-148.4409484,-148.3211902,-148.3850612,397.0749815,396.102389,396.621105,397.0411088,395.8991527,396.5081959,396.9704577,395.475246,396.2726922,15.04788076,14.32431894,14.69560595,14.953615,13.71923574,14.37128344,14.9136635,13.4557785,14.23222798,107.4169506,106.1770418,106.8374964,107.8334818,108.6807959,108.2271335,107.6085436,107.3347497,107.4782547,8.302413,1.006376444,1.006376444,1.006376444,0.564419883,0.564419883,0.564419883,0.220978281,0.220978281,0.220978281,C-Acc,3,0,0,0,0,0,0,1,0,0,9
33.47667,8.319378,-50.62756,386.3943,0,-148.8929,395.7296,FALSE,1,1,13.6230228,Dec,11.86480229,0,0,1,-0.539970081,0,-20.11204414,R,0,0,1,7,-148.7453222,-148.0074331,-148.400974,-149.1540911,-150.4600466,-149.763537,-148.9732367,-149.3749203,-149.1606891,395.4684089,394.1624534,394.858963,395.5820222,394.8441331,395.237674,395.4405567,393.9953404,394.7661224,13.38361891,12.22676492,12.83491723,13.4459832,12.63063872,13.05038175,13.32625295,11.84484511,12.63438333,98.53646385,97.68922098,98.139141,98.95398713,100.1894458,99.52962974,98.76085708,99.03947187,98.88814356,8.319378,0.640140587,0.640140587,0.640140587,0.93065574,0.93065574,0.93065574,0.145257577,0.145257577,0.145257577,R-Dec,8,0,0,1,0,0,0,0,0,0,10
